"Date","HOx","EM"
2016-04-25,1,0
2016-05-02,1,0
2016-05-09,1,0
2016-05-16,1,0
2016-05-23,1,0
2016-05-30,1,1
2016-06-06,1,1
2016-06-13,1,1
2016-06-20,1,0
2016-06-27,1,1
2016-07-05,1,1
2016-07-11,1,1
2016-07-18,1,0
2016-07-25,1,1
2016-08-01,1,1
2016-08-08,1,1
2016-08-15,1,0
2016-08-26,1,0
2016-09-02,1,0
2016-09-09,1,0
2016-09-20,1,0
2016-09-30,1,0
2016-10-07,1,0
2017-01-19,0,0
2017-05-01,1,0
2017-05-08,1,0
2017-05-15,1,0
2017-05-22,1,0
2017-05-29,1,1
2017-06-05,1,1
2017-06-12,1,1
2017-06-19,1,0
2017-06-26,1,0
2017-07-05,1,0
2017-07-10,1,1
2017-07-17,1,1
2017-07-24,1,1
2017-07-31,1,0
2017-08-07,1,0
2017-08-14,1,0
2017-08-21,1,0
2017-08-28,1,0
2017-09-04,1,0
2017-09-11,1,0
2017-09-18,1,0
2017-09-25,1,0
2018-05-07,1,0
2018-05-14,1,0
2018-05-21,1,0
2018-05-28,1,0
2018-06-04,1,0
2018-06-11,1,0
2018-06-18,1,0
2018-06-25,1,0
2018-07-02,1,0
2018-07-09,1,0
2018-07-16,1,0
2018-07-23,0,0
2018-07-30,0,0
2018-08-06,0,0
2018-08-13,0,0
2018-08-20,0,0
2018-08-27,0,0
2018-09-03,0,0
2018-09-10,0,0
2018-09-17,0,0
2019-01-21,0,0
2019-02-27,0,0
2019-03-18,0,0
2019-04-01,0,0
2019-04-15,0,0
2019-04-22,0,0
2019-04-29,0,0
2019-05-06,0,0
2019-05-13,0,0
2019-05-20,0,0
2019-05-27,0,0
2019-06-03,0,0
2019-06-10,1,0
2019-06-17,0,0
2019-06-24,0,0
2019-07-01,0,0
2019-07-08,0,0
2019-07-15,1,0
2019-07-22,0,0
2019-07-29,0,0
2019-08-05,0,0
2019-08-12,1,0
2019-08-19,0,0
2019-08-28,0,0
2019-09-02,0,0
2019-09-11,1,0
2019-09-27,1,0
2019-10-04,1,0
2019-10-11,1,0
2019-10-18,1,0
2019-10-23,1,0
2019-10-30,1,0
2019-11-08,1,0
2019-11-20,0,0
